Заголовок,Страница,Район,Дата,Цена
3 комн. У моря новострой на любой срок,https://www.olx.ua/obyavlenie/3-komn-u-morya-novostroy-na-lyuboy-srok-IDAy87u.html#a206a16f05, Приморский,Сегодня 06:04,21 066 грн.
Дерибасовская Сдам на любой срок,https://www.olx.ua/obyavlenie/deribasovskaya-sdam-na-lyuboy-srok-IDACGAm.html#a206a16f05, Приморский,Сегодня 05:59,15 799 грн.
Сдам На французском длительно с осени сейчас на лето,https://www.olx.ua/obyavlenie/sdam-na-frantsuzskom-dlitelno-s-oseni-seychas-na-leto-IDAy5cy.html#a206a16f05, Приморский,Сегодня 05:59,10 000 грн.
Сдам 3 комн.на любой срок дом парк победы,https://www.olx.ua/obyavlenie/sdam-3-komn-na-lyuboy-srok-dom-park-pobedy-IDACLcq.html#a206a16f05, Приморский,Сегодня 05:42,21 066 грн.
Новострой в центре на любой срок,https://www.olx.ua/obyavlenie/novostroy-v-tsentre-na-lyuboy-srok-IDAD2c2.html#a206a16f05, Приморский,Сегодня 05:38,13 166 грн.
Здам комнату с хозяйкой,https://www.olx.ua/obyavlenie/zdam-komnatu-s-hozyaykoy-IDt4HsG.html#a206a16f05, Малиновский,Сегодня 02:12,2 000 грн.
Сдам квартиру на фонтане,https://www.olx.ua/obyavlenie/sdam-kvartiru-na-fontane-IDAUgfm.html#a206a16f05, Приморский,Сегодня 00:53,5 500 грн.
Сдам 1-комнатную квартиру на Семинарской с 1 июля. До моря пешком 20 м,https://www.olx.ua/obyavlenie/sdam-1-komnatnuyu-kvartiru-na-seminarskoy-s-1-iyulya-do-morya-peshkom-20-m-IDAlN42.html#a206a16f05, Приморский,Сегодня 00:52,8 000 грн.
Сдам 3-х комн квартиру,https://www.olx.ua/obyavlenie/sdam-3-h-komn-kvartiru-IDAUfGe.html#a206a16f05;promoted, Малиновский,Сегодня 00:28,13 171 грн.
Сдам новую 2х комн по ул Говорова,https://www.olx.ua/obyavlenie/sdam-novuyu-2h-komn-po-ul-govorova-IDwDYUm.html#a206a16f05, Приморский,Сегодня 00:11,17 122 грн.
"Аренда долгосрочно, Чайковского",https://www.olx.ua/obyavlenie/arenda-dolgosrochno-chaykovskogo-IDAUf8v.html#a206a16f05, Приморский,Сегодня 00:10,17 122 грн.
сдам комнату в квартире коммунального типа на долгосрочно,https://www.olx.ua/obyavlenie/sdam-komnatu-v-kvartire-kommunalnogo-tipa-na-dolgosrochno-IDAUf3O.html#a206a16f05, Суворовский,Сегодня 00:10,3 000 грн.
Сдам квартиру на Зоопарковой,https://www.olx.ua/obyavlenie/sdam-kvartiru-na-zooparkovoy-IDAUeou.html#a206a16f05, Приморский,Вчера 23:49,10 000 грн.
Сдам комнаты в 4 комнатном частном доме пос. Котовского,https://www.olx.ua/obyavlenie/sdam-komnaty-v-4-komnatnom-chastnom-dome-pos-kotovskogo-IDniTOS.html#a206a16f05, Суворовский,Вчера 23:46,5 000 грн.
СРОЧНО! 3 комн на Малиновского/Дом Природы,https://www.olx.ua/obyavlenie/srochno-3-komn-na-malinovskogo-dom-prirody-IDAUe4e.html#a206a16f05, Малиновский,Вчера 23:43,7 000 грн.
Сдам 2-х квартиру на 7ст. Большого Фонтана. От хозяина.,https://www.olx.ua/obyavlenie/sdam-2-h-kvartiru-na-7st-bolshogo-fontana-ot-hozyaina-IDAPtuu.html#a206a16f05;promoted, Приморский,Вчера 23:35,9 220 грн.
Сдам комнату на лето возле моря,https://www.olx.ua/obyavlenie/sdam-komnatu-na-leto-vozle-morya-IDAUdrk.html#a206a16f05, Приморский,Вчера 23:26,"2 000 грн.

Договорная"
Сдаётся квартира . ДЛИТЕЛЬНО,https://www.olx.ua/obyavlenie/sdaetsya-kvartira-dlitelno-IDAUdoq.html#a206a16f05, Малиновский,Вчера 23:25,4 500 грн.
Сдам 3 комнатную квартиру,https://www.olx.ua/obyavlenie/sdam-3-komnatnuyu-kvartiru-IDAUde8.html#a206a16f05, Малиновский,Вчера 23:22,"11 000 грн.

Договорная"
Сдам свою квартиру в Аркадии 27 Жемчужина,https://www.olx.ua/obyavlenie/sdam-svoyu-kvartiru-v-arkadii-27-zhemchuzhina-IDARSIv.html#a206a16f05;promoted, Малиновский,Вчера 23:16,14 488 грн.
Сдам на год 2-комнатную в центре Одессы,https://www.olx.ua/obyavlenie/sdam-na-god-2-komnatnuyu-v-tsentre-odessy-IDAMgF8.html#a206a16f05;promoted, Киевский,Вчера 22:55,"8 900 грн.

Договорная"
Квартира на Лузановке,https://www.olx.ua/obyavlenie/kvartira-na-luzanovke-IDAUbNS.html#a206a16f05, Суворовский,Вчера 22:55,600 грн.
Сдам комнату,https://www.olx.ua/obyavlenie/sdam-komnatu-IDAUbIo.html#a206a16f05, Коминтерновский,Вчера 22:53,2 250 грн.
"Сдам 1-комнатную квартиру в "" 16-й Жемчужине"" на Толстого",https://www.olx.ua/obyavlenie/sdam-1-komnatnuyu-kvartiru-v-16-y-zhemchuzhine-na-tolstogo-IDAUbFe.html#a206a16f05, Приморский,Вчера 22:52,11 854 грн.
Сдам 1-комнатную на Заболотного,https://www.olx.ua/obyavlenie/sdam-1-komnatnuyu-na-zabolotnogo-IDAUa84.html#a206a16f05, Суворовский,Вчера 22:27,4 500 грн.
Сдам прекрасную квартиру в центре по ул. Пишоновская/Манежная,https://www.olx.ua/obyavlenie/sdam-prekrasnuyu-kvartiru-v-tsentre-po-ul-pishonovskaya-manezhnaya-IDAU9zg.html#a206a16f05, Приморский,Вчера 22:18,9 500 грн.
"3х комн. На Франц. Бульв. с большой террасой, на лето, 5м-море",https://www.olx.ua/obyavlenie/3h-komn-na-frants-bulv-s-bolshoy-terrasoy-na-leto-5m-more-IDzJQBi.html#a206a16f05, Приморский,Вчера 22:16,52 684 грн.
Аренда VIP квартиры на Дерибасовской,https://www.olx.ua/obyavlenie/arenda-vip-kvartiry-na-deribasovskoy-IDAMh6k.html#a206a16f05, Приморский,Вчера 22:13,"65 855 грн.

Договорная"
Сдам 1к.кв. в частном секторе -р-н Донского - Ромашковая,https://www.olx.ua/obyavlenie/sdam-1k-kv-v-chastnom-sektore-r-n-donskogo-romashkovaya-IDAU96E.html#a206a16f05, Приморский,Вчера 22:11,4 000 грн.
"Своя 1- комнатная квартира ЖК ""Альтаир-1""/3 ст.Люстдорфской дороги",https://www.olx.ua/obyavlenie/svoya-1-komnatnaya-kvartira-zhk-altair-1-3-st-lyustdorfskoy-dorogi-IDATkso.html#a206a16f05, Киевский,Вчера 22:00,8 500 грн.
Сдам комнату парню ленпоселок,https://www.olx.ua/obyavlenie/sdam-komnatu-parnyu-lenposelok-IDAU8cV.html#a206a16f05, Малиновский,Вчера 21:57,2 000 грн.
"Сдам свою однокомнатную квартиру ЖК ""5-я Жемчужина""",https://www.olx.ua/obyavlenie/sdam-svoyu-odnokomnatnuyu-kvartiru-zhk-5-ya-zhemchuzhina-IDAU7EV.html#a206a16f05, Киевский,Вчера 21:48,7 500 грн.
Сдам комнату для мужчины на подселение на Молдованке,https://www.olx.ua/obyavlenie/sdam-komnatu-dlya-muzhchiny-na-podselenie-na-moldovanke-IDAU7wI.html#a206a16f05, Малиновский,Вчера 21:45,1 250 грн.
1 комн студия малиновского уг гайдара,https://www.olx.ua/obyavlenie/1-komn-studiya-malinovskogo-ug-gaydara-IDAU7uY.html#a206a16f05, Малиновский,Вчера 21:45,7 000 грн.
районАвтовокзала ул Боровского сдается 1квартира-студия,https://www.olx.ua/obyavlenie/rayonavtovokzala-ul-borovskogo-sdaetsya-1kvartira-studiya-IDywQkq.html#f06f2f5a04;promoted, Киевский,4  июль,5 000 грн.
Сдам 2-х ком квартиру с ремонтом по ул Проховская!,https://www.olx.ua/obyavlenie/sdam-2-h-kom-kvartiru-s-remontom-po-ul-prohovskaya-IDARIMC.html#f06f2f5a04;promoted, Малиновский,3  июль,6 500 грн.
Сдам 2-х ком квартиру на Черемушках ул. Ак. Филатова Дом Мебели,https://www.olx.ua/obyavlenie/sdam-2-h-kom-kvartiru-na-cheremushkah-ul-ak-filatova-dom-mebeli-IDzV56m.html#f06f2f5a04;promoted, Малиновский,Вчера 12:55,7 500 грн.
cдам 3 комн. на 6 станции фонтана/сильпо,https://www.olx.ua/obyavlenie/cdam-3-komn-na-6-stantsii-fontana-silpo-IDzvCMu.html#f06f2f5a04;promoted, Приморский,4  июль,10 000 грн.
Сдам квартиру у моря. Приморский район. 10 ст. Фонтана.,https://www.olx.ua/obyavlenie/sdam-kvartiru-u-morya-primorskiy-rayon-10-st-fontana-IDAGXkV.html#f06f2f5a04;promoted, Киевский,Вчера 12:57,13 201 грн.
"Сдам 1-комн. квартиру, «3-я Жемчужина""",https://www.olx.ua/obyavlenie/sdam-1-komn-kvartiru-3-ya-zhemchuzhina-IDxszHS.html#f06f2f5a04;promoted, Киевский,Вчера 21:42,6 500 грн.
Сдам комнату с хозяйкой,https://www.olx.ua/obyavlenie/sdam-komnatu-s-hozyaykoy-IDAU6KK.html#f06f2f5a04, Суворовский,Вчера 21:33,2 500 грн.
Сдам 2-х комнатную квартиру на Кузнечной/ Спиридоновская,https://www.olx.ua/obyavlenie/sdam-2-h-komnatnuyu-kvartiru-na-kuznechnoy-spiridonovskaya-IDAU6om.html#f06f2f5a04, Приморский,Вчера 21:27,7 000 грн.
уютная однокомнатная квартира екатериненская/приморский бульвар,https://www.olx.ua/obyavlenie/uyutnaya-odnokomnatnaya-kvartira-ekaterinenskaya-primorskiy-bulvar-IDAHK6s.html#f06f2f5a04, Приморский,Вчера 21:24,13 171 грн.
Сдам отдельную комнату в частном доме,https://www.olx.ua/obyavlenie/sdam-otdelnuyu-komnatu-v-chastnom-dome-IDAU5RC.html#f06f2f5a04, Суворовский,Вчера 21:18,2 000 грн.
2 раздельные спальни +кухня гостиная. Новый дом вблизи центра города,https://www.olx.ua/obyavlenie/2-razdelnye-spalni-kuhnya-gostinaya-novyy-dom-vblizi-tsentra-goroda-IDARFai.html#f06f2f5a04;promoted, Приморский,Вчера 21:17,12 500 грн.
сдам 3 комнатную квартиру,https://www.olx.ua/obyavlenie/sdam-3-komnatnuyu-kvartiru-IDAOO8K.html#f06f2f5a04;promoted, Суворовский,Вчера 20:46,6 500 грн.
Сдам квартиру в Альтаире / люсдорфская дорога,https://www.olx.ua/obyavlenie/sdam-kvartiru-v-altaire-lyusdorfskaya-doroga-IDAPTGc.html#f06f2f5a04;promoted, Киевский,Вчера 20:35,10 500 грн.
Сдам 3-комнатную квартиру на ул.Княжеская(р-н Нового рынка ),https://www.olx.ua/obyavlenie/sdam-3-komnatnuyu-kvartiru-na-ul-knyazheskayar-n-novogo-rynka-IDAU1fs.html#f06f2f5a04, Приморский,Вчера 20:07,6 000 грн.
Сдам 2-х ком. квартиру в центре.,https://www.olx.ua/obyavlenie/sdam-2-h-kom-kvartiru-v-tsentre-IDAU0yo.html#f06f2f5a04, Приморский,Вчера 19:51,10 000 грн.
Сдам свою 2комн кв Новострой Приморский район,https://www.olx.ua/obyavlenie/sdam-svoyu-2komn-kv-novostroy-primorskiy-rayon-IDAREUk.html#f06f2f5a04;promoted, Приморский,Вчера 19:47,"23 708 грн.

Договорная"
3 ком Королева/Овен,https://www.olx.ua/obyavlenie/3-kom-koroleva-oven-IDALtAc.html#f06f2f5a04;promoted, Киевский,Вчера 19:37,7 000 грн.
Своя в самом центре Гоголя !,https://www.olx.ua/obyavlenie/svoya-v-samom-tsentre-gogolya-IDpq7i2.html#f06f2f5a04, Приморский,Вчера 19:37,8 000 грн.
Сдам 2х комнатную Успенская /Тираспольская,https://www.olx.ua/obyavlenie/sdam-2h-komnatnuyu-uspenskaya-tiraspolskaya-IDAPZpm.html#f06f2f5a04;promoted, Приморский,Вчера 19:33,9 000 грн.
Сдаётся 4 комнатная квартира Французский бульвар / Семинарская,https://www.olx.ua/obyavlenie/sdaetsya-4-komnatnaya-kvartira-frantsuzskiy-bulvar-seminarskaya-IDugRce.html#f06f2f5a04, Приморский,Вчера 19:23,18 439 грн.
"Квартира возле пляжа Отрада, в центре Одессы",https://www.olx.ua/obyavlenie/kvartira-vozle-plyazha-otrada-v-tsentre-odessy-IDATXNs.html#f06f2f5a04, Приморский,Вчера 19:08,700 грн.
"Посуточно квартира у моря "" Аркадийский Дворец""",https://www.olx.ua/obyavlenie/posutochno-kvartira-u-morya-arkadiyskiy-dvorets-IDATVlU.html#f06f2f5a04, Приморский,Вчера 18:57,600 грн.
"Предлагается в аренду, Маршала Говорова, новый дом ""Академгородок""",https://www.olx.ua/obyavlenie/predlagaetsya-v-arendu-marshala-govorova-novyy-dom-akademgorodok-IDATVVo.html#f06f2f5a04, Приморский,Вчера 18:55,26 402 грн.
"Живите красиво в ЖК ""Белый Парус"" с прямым видом на море!",https://www.olx.ua/obyavlenie/zhivite-krasivo-v-zhk-belyy-parus-s-pryamym-vidom-na-more-IDATVn8.html#f06f2f5a04, Приморский,Вчера 18:46,26 079 грн.
"2 ком. кв., Вильямса № 56а, новый дом",https://www.olx.ua/obyavlenie/2-kom-kv-vilyamsa-56a-novyy-dom-IDATVbQ.html#f06f2f5a04, Киевский,Вчера 18:44,10 500 грн.
Сдам1кОдессаПриморский Говорова,https://www.olx.ua/obyavlenie/sdam1kodessaprimorskiy-govorova-IDATWXi.html#f06f2f5a04, Приморский,Вчера 18:41,8 000 грн.
Посуточная аренда 1ком.кв. ул.Довженко 6 Приморский,https://www.olx.ua/obyavlenie/posutochnaya-arenda-1kom-kv-ul-dovzhenko-6-primorskiy-IDATWlE.html#f06f2f5a04, Приморский,Вчера 18:39,570 грн.
Сдам комнату в квартире с хозяйкой,https://www.olx.ua/obyavlenie/sdam-komnatu-v-kvartire-s-hozyaykoy-IDATWD2.html#f06f2f5a04, Малиновский,Вчера 18:36,2 200 грн.
Сдам 2 комн. у моря на любой срок новый дом на франц,https://www.olx.ua/obyavlenie/sdam-2-komn-u-morya-na-lyuboy-srok-novyy-dom-na-frants-IDACCLE.html#f06f2f5a04, Приморский,Вчера 18:32,21 066 грн.
Сдам комнату на Черёмушках! С Хозяйкой,https://www.olx.ua/obyavlenie/sdam-komnatu-na-cheremushkah-s-hozyaykoy-IDwShvi.html#f06f2f5a04, Киевский,Вчера 18:32,3 000 грн.
"Гагаринское плато, Аркадия.",https://www.olx.ua/obyavlenie/gagarinskoe-plato-arkadiya-IDAN55K.html#f06f2f5a04;promoted, Приморский,Вчера 18:28,13 171 грн.
Сдам 3х комнатную квартиру в Аркадии,https://www.olx.ua/obyavlenie/sdam-3h-komnatnuyu-kvartiru-v-arkadii-IDA8Jau.html#f06f2f5a04, Киевский,Вчера 18:26,"35 000 грн.

Договорная"
Сдается комната в коммунальной квартире,https://www.olx.ua/obyavlenie/sdaetsya-komnata-v-kommunalnoy-kvartire-IDATUJU.html#f06f2f5a04, Малиновский,Вчера 18:23,3 000 грн.
Сдам комнату,https://www.olx.ua/obyavlenie/sdam-komnatu-IDATUk8.html#f06f2f5a04, Приморский,Вчера 18:17,2 350 грн.
"СРОЧНО!Сдается НЕДОРОГО 2-к квартира Таирова, Вузовский НА ЛЕТО!",https://www.olx.ua/obyavlenie/srochno-sdaetsya-nedorogo-2-k-kvartira-tairova-vuzovskiy-na-leto-IDALJov.html#f06f2f5a04, Киевский,Вчера 18:17,5 000 грн.
"Сдам свою 2-х комнатную квартиру, ЦЕНТР 0ДЕССЫ",https://www.olx.ua/obyavlenie/sdam-svoyu-2-h-komnatnuyu-kvartiru-tsentr-0dessy-IDATU7y.html#f06f2f5a04, Приморский,Вчера 18:14,600 грн.
Сдам квартиру у моря.,https://www.olx.ua/obyavlenie/sdam-kvartiru-u-morya-IDATU5u.html#f06f2f5a04, Приморский,Вчера 18:13,600 грн.
Сдам квартиру в Приморском районе от Хозяйки,https://www.olx.ua/obyavlenie/sdam-kvartiru-v-primorskom-rayone-ot-hozyayki-IDATU0v.html#f06f2f5a04, Приморский,Вчера 18:12,4 500 грн.
"Балковская/Ольгиевский спуск, кухня-гостиная+3 ком.Первая аренда",https://www.olx.ua/obyavlenie/balkovskaya-olgievskiy-spusk-kuhnya-gostinaya-3-kom-pervaya-arenda-IDATT14.html#f06f2f5a04, Приморский,Вчера 18:03,12 000 грн.
СРОЧНО! Сдается на ЛЕТО 2-хкомнатная квартира у МОРЯ Дача Ковалевского,https://www.olx.ua/obyavlenie/srochno-sdaetsya-na-leto-2-hkomnatnaya-kvartira-u-morya-dacha-kovalevskogo-IDAzNye.html#f06f2f5a04, Киевский,Вчера 17:55,17 122 грн.
Сдается 2-х комнатная квартира рядом с морем Дача Ковалевского,https://www.olx.ua/obyavlenie/sdaetsya-2-h-komnatnaya-kvartira-ryadom-s-morem-dacha-kovalevskogo-IDA7dQo.html#f06f2f5a04, Киевский,Вчера 17:55,17 161 грн.
"СРОЧНО! Сдам 2-х комнатную квартиру У МОРЯ НА ЛЕТО , с видом на море!",https://www.olx.ua/obyavlenie/srochno-sdam-2-h-komnatnuyu-kvartiru-u-morya-na-leto-s-vidom-na-more-IDAJzBI.html#f06f2f5a04, Киевский,Вчера 17:51,17 161 грн.
сдам комнаты возле моря,https://www.olx.ua/obyavlenie/sdam-komnaty-vozle-morya-IDATSmm.html#f06f2f5a04, Суворовский,Вчера 17:49,6 000 грн.
"сдам 1-комн. квартиру на Фонтане, новый дом, морская сторона",https://www.olx.ua/obyavlenie/sdam-1-komn-kvartiru-na-fontane-novyy-dom-morskaya-storona-IDATRM2.html#f06f2f5a04, Приморский,Вчера 17:45,8 500 грн.
Сдам 1к Канатная /Пироговская,https://www.olx.ua/obyavlenie/sdam-1k-kanatnaya-pirogovskaya-IDArB32.html#9e03164cd8;promoted, Приморский,Вчера 10:11,10 000 грн.
Сдам 2х комнатную Успенская /Тираспольская,https://www.olx.ua/obyavlenie/sdam-2h-komnatnuyu-uspenskaya-tiraspolskaya-IDAPZpm.html#9e03164cd8;promoted, Приморский,Вчера 19:33,9 000 грн.
"Спальня\студия, Литературная, долгосрочно, с видом на море, от хозяина",https://www.olx.ua/obyavlenie/spalnya-studiya-literaturnaya-dolgosrochno-s-vidom-na-more-ot-hozyaina-IDAMGL6.html#9e03164cd8;promoted, Приморский,Вчера 12:33,13 000 грн.
Аренда квартиры на Французском бульваре,https://www.olx.ua/obyavlenie/arenda-kvartiry-na-frantsuzskom-bulvare-IDAKx1Y.html#9e03164cd8;promoted, Приморский,3  июль,"26 402 грн.

Договорная"
сдам в аренду квартиру в центре,https://www.olx.ua/obyavlenie/sdam-v-arendu-kvartiru-v-tsentre-IDAFDOG.html#9e03164cd8;promoted, Приморский,28  июнь,26 332 грн.
Срочно Евроремонт Дерибасовская 3 раздельные для всех просторная,https://www.olx.ua/obyavlenie/srochno-evroremont-deribasovskaya-3-razdelnye-dlya-vseh-prostornaya-IDABpuI.html#9e03164cd8, Приморский,Вчера 17:38,14 521 грн.
Сдам на Лето Две 1 к рн Аркадии Новострой у Моря 4 -7 сп мест,https://www.olx.ua/obyavlenie/sdam-na-leto-dve-1-k-rn-arkadii-novostroy-u-morya-4-7-sp-mest-IDATNyG.html#9e03164cd8, Приморский,Вчера 17:34,"10 000 грн.

Договорная"
Сдам однокомнатную квартиру по проспекту Шевченка 8/1,https://www.olx.ua/obyavlenie/sdam-odnokomnatnuyu-kvartiru-po-prospektu-shevchenka-8-1-IDATRac.html#9e03164cd8, Приморский,Вчера 17:34,6 000 грн.
3к квартира Большая Арнаутская угол Пушкинская,https://www.olx.ua/obyavlenie/3k-kvartira-bolshaya-arnautskaya-ugol-pushkinskaya-IDATQye.html#9e03164cd8, Приморский,Вчера 17:25,26 402 грн.
"Сдам квартиру ""Проспект Шевченка",https://www.olx.ua/obyavlenie/sdam-kvartiru-prospekt-shevchenka-IDATQ7e.html#9e03164cd8, Приморский,Вчера 17:19,"5 500 грн.

Договорная"
"3х ком квартира после ремонта, пер. Кирпичный, не большой вид на море",https://www.olx.ua/obyavlenie/3h-kom-kvartira-posle-remonta-per-kirpichnyy-ne-bolshoy-vid-na-more-IDATPW6.html#9e03164cd8, Приморский,Вчера 17:16,26 402 грн.
9 Жемчужина_Французский_Аркадия_панорама моря_большой балкон!,https://www.olx.ua/obyavlenie/9-zhemchuzhina-frantsuzskiy-arkadiya-panorama-morya-bolshoy-balkon-IDATPHK.html#9e03164cd8, Приморский,Вчера 17:13,14 521 грн.
2к квартира Большая Арнаутская угол Пушкинская,https://www.olx.ua/obyavlenie/2k-kvartira-bolshaya-arnautskaya-ugol-pushkinskaya-IDATPD8.html#9e03164cd8, Приморский,Вчера 17:12,21 121 грн.
Аренда апартаментов Затока,https://www.olx.ua/obyavlenie/arenda-apartamentov-zatoka-IDACRTq.html#9e03164cd8, Суворовский,Вчера 17:09,800 грн.
Средняя 24 / ЖК Люксембург Студия и спальня,https://www.olx.ua/obyavlenie/srednyaya-24-zhk-lyuksemburg-studiya-i-spalnya-IDAElB6.html#9e03164cd8, Малиновский,Вчера 17:05,12 000 грн.
"Сдам 1 км.квартиру Пастера ,Конная",https://www.olx.ua/obyavlenie/sdam-1-km-kvartiru-pastera-konnaya-IDATOKA.html#9e03164cd8, Малиновский,Вчера 17:01,6 000 грн.
Сдам 1 комнатную квартиру М.Жукова \ Епицентр,https://www.olx.ua/obyavlenie/sdam-1-komnatnuyu-kvartiru-m-zhukova-epitsentr-IDAP4W8.html#9e03164cd8;promoted, Киевский,Вчера 16:48,5 500 грн.
"Сдам комнату без хозяйки Щорса/Аэропортовский,",https://www.olx.ua/obyavlenie/sdam-komnatu-bez-hozyayki-schorsa-aeroportovskiy-IDATNFG.html#9e03164cd8, Малиновский,Вчера 16:47,2 500 грн.
новая трех спальная квартира в жк Восьмая Жемчужина,https://www.olx.ua/obyavlenie/novaya-treh-spalnaya-kvartira-v-zhk-vosmaya-zhemchuzhina-IDATNlQ.html#9e03164cd8, Приморский,Вчера 16:42,31 682 грн.
"Сдам 2 комнатную квартиру в частном секторе По ул Рекордной,от Хозяина",https://www.olx.ua/obyavlenie/sdam-2-komnatnuyu-kvartiru-v-chastnom-sektore-po-ul-rekordnoy-ot-hozyaina-IDATNfu.html#9e03164cd8, Малиновский,Вчера 16:41,5 500 грн.
Сдам комнату в доме,https://www.olx.ua/obyavlenie/sdam-komnatu-v-dome-IDAlEXe.html#9e03164cd8, Суворовский,Вчера 16:35,1 500 грн.
"3х комн. м. р-н "" Вузовский""/ ул. Шишкина",https://www.olx.ua/obyavlenie/3h-komn-m-r-n-vuzovskiy-ul-shishkina-IDATMsK.html#9e03164cd8, Киевский,Вчера 16:32,9 500 грн.
Сдам комнату в частном доме на ЛЕНПАСЕЛКЕ,https://www.olx.ua/obyavlenie/sdam-komnatu-v-chastnom-dome-na-lenpaselke-IDATMcy.html#9e03164cd8, Малиновский,Вчера 16:28,3 500 грн.
Сдам две отдельные комнаты в частном доме,https://www.olx.ua/obyavlenie/sdam-dve-otdelnye-komnaty-v-chastnom-dome-IDATMaA.html#9e03164cd8, Киевский,Вчера 16:27,"2 800 грн.

Договорная"
Сдам 1 комнатную с евроремонтому в ЖК Суворовский,https://www.olx.ua/obyavlenie/sdam-1-komnatnuyu-s-evroremontomu-v-zhk-suvorovskiy-IDATL4A.html#9e03164cd8, Суворовский,Вчера 16:22,6 500 грн.
"элитный комп-с Валмакс, 3х ком квартира у парка Шевченко",https://www.olx.ua/obyavlenie/elitnyy-komp-s-valmaks-3h-kom-kvartira-u-parka-shevchenko-IDAl50s.html#9e03164cd8, Приморский,Вчера 16:20,47 523 грн.
"новая 2х ком квартира в доме от ЗАРС, Французский Бульвар",https://www.olx.ua/obyavlenie/novaya-2h-kom-kvartira-v-dome-ot-zars-frantsuzskiy-bulvar-IDAl3Bg.html#9e03164cd8, Приморский,Вчера 16:20,21 121 грн.
Малая Арнаутская центр города отличная квартира,https://www.olx.ua/obyavlenie/malaya-arnautskaya-tsentr-goroda-otlichnaya-kvartira-IDAvse4.html#9e03164cd8, Приморский,Вчера 16:19,6 600 грн.
Комната без хозяйки,https://www.olx.ua/obyavlenie/komnata-bez-hozyayki-IDACMTG.html#9e03164cd8, Киевский,Вчера 16:16,2 300 грн.
"Сдам 1 ком.квартиру 5 ст.Б.Фонтана,Адмиральский пр-т",https://www.olx.ua/obyavlenie/sdam-1-kom-kvartiru-5-st-b-fontana-admiralskiy-pr-t-IDx139C.html#9e03164cd8, Приморский,Вчера 16:12,7 000 грн.
Сдам свою квартиру в ЖК Люксембург Средняя 24 c 5.08.2018,https://www.olx.ua/obyavlenie/sdam-svoyu-kvartiru-v-zhk-lyuksemburg-srednyaya-24-c-5-08-2018-IDyuB9E.html#9e03164cd8, Приморский,Вчера 16:11,7 920 грн.
новый дом. от Кадор ул. Асташкина. Центр города,https://www.olx.ua/obyavlenie/novyy-dom-ot-kador-ul-astashkina-tsentr-goroda-IDATKCq.html#9e03164cd8, Приморский,Вчера 16:09,13 201 грн.
Сдам квартиру с парковкой под окном,https://www.olx.ua/obyavlenie/sdam-kvartiru-s-parkovkoy-pod-oknom-IDATKqV.html#9e03164cd8, Киевский,Вчера 16:06,500 грн.
Сдам квартиру в Гольфстриме/Аркадия,https://www.olx.ua/obyavlenie/sdam-kvartiru-v-golfstrime-arkadiya-IDAvpRi.html#9e03164cd8, Приморский,Вчера 15:52,21 121 грн.
Сдам 3-х комнатную ЖК Чудо город(на лето или длительно),https://www.olx.ua/obyavlenie/sdam-3-h-komnatnuyu-zhk-chudo-gorodna-leto-ili-dlitelno-IDAOVPu.html#9e03164cd8;promoted, Приморский,Вчера 15:51,12 000 грн.
